Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AC,Associated Capital Group Inc. Common Stock,$38.91,-2.19,-5.328%,827637684.00,United States,2015,23191,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,$93.67,-1.26,-1.327%,4569597186.00,United States,2018,238244,Industrials,Metal Fabrications
ACCO,Acco Brands Corporation Common Stock,$5.09,-0.10,-1.927%,487610995.00,United States,,550821,Consumer Discretionary,Publishing
ACEL,Accel Entertainment Inc. ,$11.06,-0.26,-2.297%,913940468.00,United States,2017,156340,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACHR,Archer Aviation Inc. Class A Common Stock,$3.06,-0.13,-4.075%,1087993884.00,United States,2020,7832221,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,$18.74,-0.26,-1.368%,10856983000.00,United States,2020,5215000,Consumer Staples,Food Chains
ACM,AECOM Common Stock,$107.49,-0.40,-0.371%,14410834528.00,United States,2007,389378,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),$376.03,-0.83,-0.22%,235080194054.00,Ireland,2001,1784636,Consumer Discretionary,Business Services
ACP,abrdn Income Credit Strategies Fund Common Shares,$6.64,0.02,0.302%,0.00,United States,2011,408479,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$24.5655,-0.0075,-0.031%,,United States,,1171,,
ACR,ACRES Commercial Realty Corp. Common Stock,$15.43,-0.24,-1.532%,121483970.00,United States,,9675,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$24.7793,-0.1107,-0.445%,,United States,,3630,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$23.3185,-0.0315,-0.135%,,United States,,3106,,
